municipality,house_district,house_member,senate_district,senate_member,congressional_district,congress_member
SUGARCREEK BOROUGH,64,JAMES - R,21,HUTCHINSON - R,5,SCANLON - D
SUGARCREEK BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
UTICA BOROUGH,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
VICTORY TWP,64,JAMES - R,21,HUTCHINSON - R,15,THOMPSON - R
BEAR LAKE BOROUGH,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
BROKENSTRAW TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
CHERRY GROVE TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
CLARENDON BOROUGH,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
COLUMBUS TWP,65,RAPP - R,50,BROOKS - R,15,THOMPSON - R
CONEWANGO TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
DEERFIELD TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
ELDRED TWP,65,RAPP - R,50,BROOKS - R,15,THOMPSON - R
ELK TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
FARMINGTON TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
FREEHOLD TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
GLADE TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
LIMESTONE TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
MEAD TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
PINE GROVE TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
PITTSFIELD TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
PLEASANT TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
SHEFFIELD TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
SOUTHWEST TWP,65,RAPP - R,50,BROOKS - R,15,THOMPSON - R
SPRING CREEK TWP,65,RAPP - R,50,BROOKS - R,15,THOMPSON - R
SUGAR GROVE BOROUGH,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
SUGAR GROVE TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
TIDIOUTE BOROUGH,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
TRIUMPH TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
WARREN CITY,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
WATSON TWP,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
YOUNGSVILLE BOROUGH,65,RAPP - R,21,HUTCHINSON - R,15,THOMPSON - R
ALLENPORT BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
AMWELL TWP,15,KAIL - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
BEALLSVILLE BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
BENTLEYVILLE BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
BLAINE TWP,15,KAIL - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
BUFFALO TWP,15,KAIL - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
BURGETTSTOWN BOROUGH,46,ORTITAY - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
CALIFORNIA BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CANONSBURG BOROUGH,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CANTON TWP,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CARROLL TWP,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CECIL TWP,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CENTERVILLE BOROUGH,50,SNYDER - D,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CHARLEROI BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CHARTIERS TWP,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CLAYSVILLE BOROUGH,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
COAL CENTER BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
COKEBURG BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
CROSS CREEK TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
DEEMSTON BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
DONEGAL TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
DONORA BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
DUNLEVY BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
EAST BETHLEHEM TWP,50,SNYDER - D,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
EAST FINLEY TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
EAST WASHINGTON BOROUGH,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
ELCO BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
ELLSWORTH BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
FALLOWFIELD TWP,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
FINLEYVILLE BOROUGH,39,PUSKARIC - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
GREEN HILLS BOROUGH,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
HANOVER TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
HOPEWELL TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
HOUSTON BOROUGH,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
JEFFERSON TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
LONG BRANCH BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
MARIANNA BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
MCDONALD BOROUGH,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
MIDWAY BOROUGH,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
MONONGAHELA CITY,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
MORRIS TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
MOUNT PLEASANT TWP,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
NEW EAGLE BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
NORTH BETHLEHEM TWP,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
NORTH CHARLEROI BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
NORTH FRANKLIN TWP,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
NORTH STRABANE TWP,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
NOTTINGHAM TWP,39,PUSKARIC - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
PETERS TWP,40,MIHALEK - R,37,IOVINO - D,14,"RESCHENTHALER -R"
ROBINSON TWP,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
ROSCOE BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
SMITH TWP,46,ORTITAY - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
SOMERSET TWP,39,PUSKARIC - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
SOUTH FRANKLIN TWP,15,KAIL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
SOUTH STRABANE TWP,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
SPEERS BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
STOCKDALE BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
TWILIGHT BOROUGH,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
UNION TWP,39,PUSKARIC - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
WASHINGTON CITY,48,O'NEAL - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
WEST BETHLEHEM TWP,49,COOK - R,46,BARTOLOTTA - R,14,"RESCHENTHALER -R"
WEST FINLEY TWP,15,KAIL - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
WEST MIDDLETOWN BOROUGH,15,KAIL - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
WEST PIKE RUN TWP,49,COOK - R,46,BARTOLOTTA - R,14,RESCHENTHALER - R
BERLIN TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
BETHANY BOROUGH,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
BUCKINGHAM TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
CANAAN TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
CHERRY RIDGE TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
CLINTON TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
DAMASCUS TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
DREHER TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
DYBERRY TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
HAWLEY BOROUGH,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
HONESDALE BOROUGH,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
LAKE TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
LEBANON TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
LEHIGH TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
MANCHESTER TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
MOUNT PLEASANT TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
OREGON TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
PALMYRA TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
PAUPACK TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
PRESTON TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
PROMPTON BOROUGH,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
SALEM TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
SCOTT TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
SOUTH CANAAN TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
STARRUCCA BOROUGH,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
STERLING TWP,139,PEIFER - R,20,BAKER - R,8,CARTWRIGHT - D
TEXAS TWP,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
WAYMART BOROUGH,111,FRITZ - R,20,BAKER - R,8,CARTWRIGHT - D
ADAMSBURG BOROUGH,58,WALSH - R,39,K. WARD - R,14,RESCHENTHALER - R
ALLEGHENY TWP,54,BROOKS - R,45,BREWSTER - D,14,RESCHENTHALER - R
ARNOLD CITY,33,DERMODY - D,45,BREWSTER - D,14,RESCHENTHALER - R
ARONA BOROUGH,58,WALSH - R,39,K. WARD - R,14,RESCHENTHALER - R
AVONMORE BOROUGH,55,PETRARCA - D,41,PITTMAN - R,14,RESCHENTHALER - R
BELL TWP,55,PETRARCA - D,41,PITTMAN - R,14,RESCHENTHALER - R
BOLIVAR BOROUGH,59,REESE - R,39,K. WARD - R,13,JOYCE - R
COOK TWP,59,REESE - R,39,K. WARD - R,13,JOYCE - R
DELMONT BOROUGH,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
DERRY BOROUGH,55,PETRARCA - D,39,K. WARD - R,13,JOYCE - R
DERRY TWP,55,PETRARCA - D,39,K. WARD - R,13,JOYCE - R
DONEGAL BOROUGH,59,REESE - R,39,K. WARD - R,13,JOYCE - R
DONEGAL TWP,59,REESE - R,39,K. WARD - R,13,JOYCE - R
EAST HUNTINGDON TWP,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
EAST HUNTINGDON TWP,58,WALSH - R,32,STEFANO - R,14,"RESCHENTHALER -R"
EAST VANDERGRIFT BOROUGH,55,PETRARCA - D,45,BREWSTER - D,14,"RESCHENTHALER -R"
EXPORT BOROUGH,54,BROOKS - R,41,PITTMAN - R,14,"RESCHENTHALER -R"
FAIRFIELD TWP,59,REESE - R,39,K. WARD - R,13,JOYCE - R
GREENSBURG CITY,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
HEMPFIELD TWP,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
HEMPFIELD TWP,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
HEMPFIELD TWP,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
HEMPFIELD TWP,59,REESE - R,39,K. WARD - R,14,"RESCHENTHALER -R"
HUNKER BOROUGH,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
HYDE PARK BOROUGH,55,PETRARCA - D,45,BREWSTER - D,14,"RESCHENTHALER -R"
IRWIN BOROUGH,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
JEANNETTE CITY,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
LATROBE CITY,55,PETRARCA - D,39,K. WARD - R,14,"RESCHENTHALER -R"
LAUREL MOUNTAIN BOROUGH,59,REESE - R,39,K. WARD - R,13,JOYCE - R
LIGONIER BOROUGH,59,REESE - R,39,K. WARD - R,18,DOYLE - D
LIGONIER TWP,59,REESE - R,39,K. WARD - R,13,JOYCE - R
LOWER BURRELL CITY,54,BROOKS - R,45,BREWSTER - D,14,"RESCHENTHALER -R"
LOYALHANNA TWP,55,PETRARCA - D,41,PITTMAN - R,14,"RESCHENTHALER -R"
MADISON BOROUGH,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
MANOR BOROUGH,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
MONESSEN CITY,58,WALSH - R,32,STEFANO - R,14,"RESCHENTHALER -R"
MOUNT PLEASANT BOROUGH,58,WALSH - R,32,STEFANO - R,14,"RESCHENTHALER -R"
MOUNT PLEASANT TWP,59,REESE - R,39,K. WARD - R,14,"RESCHENTHALER -R"
NEW ALEXANDRIA BOROUGH,55,PETRARCA - D,39,K. WARD - R,13,JOYCE - R
NEW FLORENCE BOROUGH,59,REESE - R,39,K. WARD - R,13,JOYCE - R
NEW KENSINGTON CITY,33,DERMODY - D,45,BREWSTER - D,14,"RESCHENTHALER -R"
NEW STANTON BOROUGH,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
NORTH BELLE VERNON BOROUGH,58,WALSH - R,32,STEFANO - R,14,"RESCHENTHALER -R"
NORTH HUNTINGDON TWP,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
NORTH IRWIN BOROUGH,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
OKLAHOMA BOROUGH,55,PETRARCA - D,41,PITTMAN - R,14,"RESCHENTHALER -R"
PENN BOROUGH,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
PENN TWP,54,BROOKS - R,39,K. WARD - R,14,"RESCHENTHALER -R"
PENN TWP,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
ROSTRAVER TWP,58,WALSH - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SALEM TWP,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
SCOTTDALE BOROUGH,52,WARNER - R,32,STEFANO - R,14,"RESCHENTHALER -R"
SEWARD BOROUGH,59,REESE - R,39,K. WARD - R,13,JOYCE - R
SEWICKLEY TWP,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
SMITHTON BOROUGH,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
SOUTH GREENSBURG BOROUGH,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
SOUTH HUNTINGDON TWP,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
SOUTHWEST GREENSBURG BOROUGH,57,NELSON - R,39,K. WARD - R,14,"RESCHENTHALER -R"
ST. CLAIR TWP,59,REESE - R,39,K. WARD - R,13,JOYCE - R
SUTERSVILLE BOROUGH,58,WALSH - R,39,K. WARD - R,14,"RESCHENTHALER -R"
TRAFFORD BOROUGH,56,DUNBAR - R,39,K. WARD - R,14,"RESCHENTHALER -R"
UNITY TWP,55,PETRARCA - D,39,K. WARD - R,13,JOYCE - R
UNITY TWP,59,REESE - R,39,K. WARD - R,13,JOYCE - R
UNITY TWP,55,PETRARCA - D,39,K. WARD - R,14,"RESCHENTHALER -R"
UNITY TWP,59,REESE - R,39,K. WARD - R,14,"RESCHENTHALER -R"
UPPER BURRELL TWP,54,BROOKS - R,41,PITTMAN - R,14,"RESCHENTHALER -R"
VANDERGRIFT BOROUGH,55,PETRARCA - D,45,BREWSTER - D,14,"RESCHENTHALER -R"
WEST LEECHBURG BOROUGH,55,PETRARCA - D,45,BREWSTER - D,14,RESCHENTHALER - R
WEST NEWTON BOROUGH,58,WALSH - R,39,K. WARD - R,14,RESCHENTHALER - R
YOUNGSTOWN BOROUGH,55,PETRARCA - D,39,K. WARD - R,13,JOYCE - R
YOUNGWOOD BOROUGH,57,NELSON - R,39,K. WARD - R,14,RESCHENTHALER - R
BRAINTRIM TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
CLINTON TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
EATON TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
EXETER TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
FACTORYVILLE BOROUGH,117,BOBACK - R,20,BAKER - R,12,MARINO - R
FALLS TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
FORKSTON TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
LACEYVILLE BOROUGH,117,BOBACK - R,20,BAKER - R,12,MARINO - R
LEMON TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
MEHOOPANY TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
MESHOPPEN BOROUGH,117,BOBACK - R,20,BAKER - R,12,MARINO - R
MESHOPPEN TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
MONROE TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
NICHOLSON BOROUGH,117,BOBACK - R,20,BAKER - R,11,SMUCKER - R
NICHOLSON TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
NORTH BRANCH TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
NORTHMORELAND TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
NOXEN TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
OVERFIELD TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
TUNKHANNOCK BOROUGH,117,BOBACK - R,20,BAKER - R,12,MARINO - R
TUNKHANNOCK TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
WASHINGTON TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
WINDHAM TWP,117,BOBACK - R,20,BAKER - R,12,MARINO - R
CARROLL TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
CHANCEFORD TWP,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
CODORUS TWP,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
CONEWAGO TWP,47,GILLESPIE - R,48,FOLMER - R,10,PERRY - R
CROSS ROADS BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
DALLASTOWN BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
DELTA BOROUGH,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
DILLSBURG BOROUGH,92,KEEFER - R,31,REGAN - R,10,PERRY - R
DOVER BOROUGH,196,GROVE - R,31,REGAN - R,10,PERRY - R
DOVER TWP,196,GROVE - R,31,REGAN - R,10,PERRY - R
EAST HOPEWELL TWP,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
EAST MANCHESTER TWP,47,GILLESPIE - R,48,FOLMER - R,10,PERRY - R
EAST PROSPECT BOROUGH,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
FAIRVIEW TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
FAWN GROVE BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
FAWN TWP,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
FELTON BOROUGH,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
FRANKLIN TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
FRANKLINTOWN BOROUGH,92,KEEFER - R,31,REGAN - R,10,PERRY - R
GLEN ROCK BOROUGH,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
GOLDSBORO BOROUGH,92,KEEFER - R,48,FOLMER - R,10,PERRY - R
HALLAM BOROUGH,47,GILLESPIE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
HANOVER BOROUGH,169,KLUNK - R,33,MASTRIANO - R,11,SMUCKER - R
HEIDELBERG TWP,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
HELLAM TWP,47,GILLESPIE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
HOPEWELL TWP,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
JACKSON TWP,196,GROVE - R,31,REGAN - R,11,SMUCKER - R
JACOBUS BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
JEFFERSON BOROUGH,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
LEWISBERRY BOROUGH,92,KEEFER - R,48,FOLMER - R,10,PERRY - R
LOGANVILLE BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
LOWER CHANCEFORD TWP,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
LOWER WINDSOR TWP,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
MANCHESTER BOROUGH,47,GILLESPIE - R,48,FOLMER - R,10,PERRY - R
MANCHESTER TWP,47,GILLESPIE - R,28,PHILLIPS-HILL - R,10,PERRY - R
MANHEIM TWP,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
MONAGHAN TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
MOUNT WOLF BOROUGH,47,GILLESPIE - R,48,FOLMER - R,10,PERRY - R
NEW FREEDOM BOROUGH,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
NEW SALEM BOROUGH,196,GROVE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
NEWBERRY TWP,92,KEEFER - R,48,FOLMER - R,10,PERRY - R
NORTH CODORUS TWP,196,GROVE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
NORTH HOPEWELL TWP,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
NORTH YORK BOROUGH,47,GILLESPIE - R,28,PHILLIPS-HILL - R,10,PERRY - R
PARADISE TWP,196,GROVE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
PEACH BOTTOM TWP,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
PENN TWP,169,KLUNK - R,33,MASTRIANO - R,11,SMUCKER - R
RAILROAD BOROUGH,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
RED LION BOROUGH,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
SEVEN VALLEYS BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
SHREWSBURY BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
SHREWSBURY TWP,169,KLUNK - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
SPRING GARDEN TWP,95,HILL-EVANS - D,28,PHILLIPS-HILL - R,10,PERRY - R
SPRING GROVE BOROUGH,196,GROVE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
SPRINGETTSBURY TWP,47,GILLESPIE - R,48,FOLMER - R,10,PERRY - R
SPRINGETTSBURY TWP,94,SAYLOR - R,48,FOLMER - R,10,PERRY - R
SPRINGFIELD TWP,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
STEWARTSTOWN BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
WARRINGTON TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
WASHINGTON TWP,92,KEEFER - R,31,REGAN - R,10,PERRY - R
WELLSVILLE BOROUGH,92,KEEFER - R,31,REGAN - R,10,PERRY - R
WEST MANCHESTER TWP,95,HILL-EVANS - D,28,PHILLIPS-HILL - R,10,PERRY - R
WEST MANCHESTER TWP,196,GROVE - R,28,PHILLIPS-HILL - R,10,PERRY - R
WEST MANHEIM TWP,169,KLUNK - R,33,MASTRIANO - R,11,SMUCKER - R
WEST YORK BOROUGH,95,HILL-EVANS - D,28,PHILLIPS-HILL - R,10,PERRY - R
WINDSOR BOROUGH,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
WINDSOR TWP,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
WINTERSTOWN BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
WRIGHTSVILLE BOROUGH,47,GILLESPIE - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
YOE BOROUGH,93,JONES - R,28,PHILLIPS-HILL - R,10,PERRY - R
YORK CITY,95,HILL-EVANS - D,28,PHILLIPS-HILL - R,10,PERRY - R
YORK HAVEN BOROUGH,47,GILLESPIE - R,48,FOLMER - R,10,PERRY - R
YORK TWP,93,JONES - R,28,PHILLIPS-HILL - R,10,PERRY - R
YORK TWP,93,JONES - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
YORKANA BOROUGH,94,SAYLOR - R,28,PHILLIPS-HILL - R,11,SMUCKER - R
